DESCRIPTION,SHOWROOM COLOR,ALGO HEXA1,ALGO CONFUSED1,ALGO PRECISE1,ALGO HEXA2,ALGO CONFUSED2,ALGO PRECISE2,ALGO HEXA3,ALGO CONFUSED3,ALGO PRECISE3,ALGO HEXA4,ALGO CONFUSED4,ALGO PRECISE4,ALGO HEXA5,ALGO CONFUSED5,ALGO PRECISE5
Robe droite   Noir et blanc, noir et blanc  ,#352c2e,Black,MidnightBlue,#e0c9b8,Silver,LightGrey,#373032,Black,MidnightBlue,#ecd3b9,Silver,Moccasin,,,
Robe fourreau   Noir, noir et rose pâle  ,#342e33,Black,MidnightBlue,#352f34,Black,MidnightBlue,#342e32,Black,MidnightBlue,#2b282b,Black,MidnightBlue,,,
Robe à rayures   Bleu marine et blanc, bleu marine et blanc  ,#ecd7c8,Silver,LightGrey,#dac3b4,Silver,Silver,#e7d1bc,Silver,LightGrey,#444659,Gray,DimGrey,,,
Robe longue motifs fantaisie   Sable, sable,#d3bdb3,Silver,Silver,#d2bab2,Silver,Silver,#e2d7cd,Silver,LightGrey,,,,,,
Robe longue motifs fantaisie   Sable, sable,#d3bdb3,Silver,Silver,#d2bab2,Silver,Silver,#e2d7cd,Silver,LightGrey,,,,,,
Robe fourreau   Vert, vert  ,#6ad299,Gray,LightGreen,#60cb8f,Gray,LightGreen,#72cc97,Gray,LightGreen,#67cf97,Gray,LightGreen,,,
Robe fourreau   Vert, vert  ,#6ad299,Gray,LightGreen,#60cb8f,Gray,LightGreen,#72cc97,Gray,LightGreen,#67cf97,Gray,LightGreen,,,
Robe fourreau   Vert, vert  ,#6ad299,Gray,LightGreen,#60cb8f,Gray,LightGreen,#72cc97,Gray,LightGreen,#67cf97,Gray,LightGreen,,,
Robe fourreau   Vert, vert  ,#6ad299,Gray,LightGreen,#60cb8f,Gray,LightGreen,#72cc97,Gray,LightGreen,#67cf97,Gray,LightGreen,,,
Robe à pois   Bleu marine, bleu marine et blanc  ,#5b5b77,Gray,DimGrey,#5f5f7d,Gray,DimGrey,#5e5b6e,Gray,DimGrey,#2d3158,Teal,MidnightBlue,,,
Robe à pois   Bleu marine, bleu marine et blanc  ,#5b5b77,Gray,DimGrey,#5f5f7d,Gray,DimGrey,#5e5b6e,Gray,DimGrey,#2d3158,Teal,MidnightBlue,,,
Robe longue motifs fleuris   Ecru, écru,#e1cbb8,Silver,LightGrey,#e1c4ae,Silver,LightPink,#ecdfce,Silver,Beige,,,,,,
Robe longue motifs fleuris   Ecru, écru,#e1cbb8,Silver,LightGrey,#e1c4ae,Silver,LightPink,#ecdfce,Silver,Beige,,,,,,
Robe fourreau à rayures   Noir et corail, noir,#e9c8c6,Silver,Pink,#ebcec5,Silver,Pink,#342e2e,Black,MidnightBlue,#e6cfbb,Silver,LightGrey,,,
Robe patineuse motifs fleuris   Bleu marine, bleu marine,#535e83,Gray,DimGrey,#505881,Gray,DimGrey,#4b5471,Gray,DimGrey,#414d7b,Gray,DimGrey,,,
Robe patineuse motifs fleuris   Bleu marine, bleu marine,#535e83,Gray,DimGrey,#505881,Gray,DimGrey,#4b5471,Gray,DimGrey,#414d7b,Gray,DimGrey,,,
Robe fourreau   Bleu électrique, bleu électrique  ,#1f65d3,Teal,RoyalBlue,#337ee7,Teal,RoyalBlue,#e4cab7,Silver,LightGrey,#0e60cc,Teal,RoyalBlue,,,
Robe fourreau   Bleu électrique, bleu électrique  ,#1f65d3,Teal,RoyalBlue,#337ee7,Teal,RoyalBlue,#e4cab7,Silver,LightGrey,#0e60cc,Teal,RoyalBlue,,,
Robe droite   Noir, noir  ,#352f32,Black,MidnightBlue,#352e32,Black,MidnightBlue,#362e31,Black,MidnightBlue,#2e2728,Black,Black,,,
Robe droite   Noir, noir  ,#363032,Black,MidnightBlue,#352e32,Black,MidnightBlue,#362e31,Black,MidnightBlue,#2e2728,Black,Black,,,
Robe asymétrique   Vert, vert  ,#85d6a8,Silver,LightGreen,#81d2a2,Silver,LightGreen,#6ec793,Gray,LightGreen,#7cd1a0,Silver,LightGreen,,,
Robe asymétrique   Vert, vert  ,#85d6a8,Silver,LightGreen,#81d2a2,Silver,LightGreen,#6ec793,Gray,LightGreen,#7cd1a0,Silver,LightGreen,,,
Robe asymétrique   Vert, vert  ,#85d5a7,Silver,LightGreen,#81d2a2,Silver,LightGreen,#6ec793,Gray,LightGreen,#7cd1a0,Silver,LightGreen,,,
Robe fourreau en guipure   Noir, noir  ,#342928,Black,Black,#2a2222,Black,Black,#dec8b8,Silver,LightGrey,#3c2d28,Black,MidnightBlue,,,
Robe fourreau en guipure   Noir, noir  ,#342928,Black,Black,#2a2222,Black,Black,#dec8b8,Silver,LightGrey,#3c2d28,Black,MidnightBlue,,,
Robe patineuse motifs fleuris   Ecru, écru,#d7cbc3,Silver,LightGrey,#d0cbca,Silver,LightGrey,#d5c9c0,Silver,LightGrey,#c5aca7,Silver,DarkGrey,,,
Robe bustier   Noir, noir  ,#312b30,Black,MidnightBlue,#241a19,Black,Black,#342d30,Black,MidnightBlue,#322f35,Black,MidnightBlue,,,
Robe fourreau   Bleu marine, bleu marine  ,#333763,Teal,MidnightBlue,#353661,Teal,MidnightBlue,#35345e,Teal,MidnightBlue,#313969,Teal,MidnightBlue,,,
Robe fourreau   Bleu marine, bleu marine  ,#474c83,Gray,DimGrey,#4e5694,Gray,DimGrey,#444880,Gray,DimGrey,#4c5289,Gray,DimGrey,,,
Robe fourreau   Bleu marine, bleu marine  ,#474c83,Gray,DimGrey,#4e5694,Gray,DimGrey,#444880,Gray,DimGrey,#4c5289,Gray,DimGrey,,,
Robe longue motifs fantaisie   Fuchsia, fuchsia,#aa8f99,Gray,RosyBrown,#a8888e,Gray,RosyBrown,#886665,Gray,DimGrey,,,,,,
Robe fourreau à rayures   Bleu marine et blanc, bleu marine et blanc  ,#3e4574,Teal,DimGrey,#3f4980,Teal,DimGrey,#dfd4d5,Silver,LightGrey,#3c4f8c,Teal,DimGrey,,,
Robe patineuse   Orange, orange  ,#fda34d,Orange,Coral,#fba04a,Orange,Coral,#fc9b40,Orange,Coral,#fc912d,Orange,Coral,,,
